date,id,Park,Campground,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites,month
2007-05-23,67,Rocky Mountain,MORAINE PARK CAMPGROUND,58.4274952919021,2.60057740872516,15.8600238012747,32.5244137386006,5222,3.23870666942944,1060,366.069009746037,247,236,2007-05-01
2007-06-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,84.5338983050848,2.79689109112389,16.5429630769156,35.5864108388908,26351,3.18428900870629,8480,1344.7138541397,247,236,2007-06-01
2007-07-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,102.829414980864,3.05491936650984,16.0683816354717,50.6098458421194,41572,3.48662838595871,20480,1523.66620160806,247,236,2007-07-01
2007-08-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,95.1612903225807,2.86994658558826,16.1037399781483,42.3313295793666,33728,3.10959874169983,19730,1418.83919443656,247,236,2007-08-01
2007-09-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,89.5338983050848,2.52952147914596,15.6980592963619,36.7418308844002,23722,2.58329654599974,14500,1197.6168846683,247,236,2007-09-01
2007-10-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,2.67905959540733,0.113389164598842,0.939567824648468,1.81007547559967,490,0.138900951199338,3440,51.1490384615385,247,236,2007-10-01
2007-11-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2007-11-01
2007-12-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2007-12-01
2008-01-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2008-01-01
2008-02-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2008-02-01
2008-03-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2008-03-01
2008-04-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2008-04-01
2008-05-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,23.7424822307272,0.811130411833246,5.60592232832436,13.8024894675557,6570,0.983736095413025,0,405.685713232153,247,236,2008-05-01
2008-06-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,85.3531073446328,2.57413249440707,16.2568324102608,42.4012221153291,26528,2.96941625733352,10190,1227.38311818812,247,236,2008-06-01
2008-07-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,102.063969382176,2.9618288916403,16.0490643426056,58.6367311594481,40593,3.40834505049221,16840,1485.00288196314,247,236,2008-07-01
2008-08-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,95.7627118644069,2.76194614164517,15.4255579010509,47.7485744416525,34451,3.08867977747263,20410,1357.01273537764,247,236,2008-08-01
2008-09-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,86.3841807909605,2.54971173639563,14.9553080426837,44.2892581476738,22720,2.48914947423276,15030,1135.62083916157,247,236,2008-09-01
2008-10-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,15.882996172772,0.757969603200928,4.5539218598456,7.73735517347171,3798,0.719376825792797,6840,372.797909683577,247,236,2008-10-01
2008-11-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2008-11-01
2008-12-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2008-12-01
2009-01-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2009-01-01
2009-02-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2009-02-01
2009-03-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2009-03-01
2009-04-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2009-04-01
2009-05-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,29.6200109349371,0.906252794921416,6.38384751520375,14.17930990306,8682,1.13600694472265,0,475.148830672108,247,236,2009-05-01
2009-06-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,95.1694915254238,2.82861212513833,16.2108382877686,58.4117340935987,37335,3.60015088365988,8810,1437.84336617248,247,236,2009-06-01
2009-07-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,102.829414980864,2.97139499456047,16.7437215388843,84.1593869780593,48543,3.99208778288812,19602,1568.64001562513,247,236,2009-07-01
2009-08-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,100.628758884637,2.88318618946019,16.1366770496301,65.2038973174564,41761,3.52080868674999,19498,1460.60950821504,247,236,2009-08-01
2009-09-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,89.5197740112995,2.57957139458798,15.3595550828716,53.7805124804368,27857,2.84082532383776,9770,1196.36918687741,247,236,2009-09-01
2009-10-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,13.1902679059595,0.406125906354942,2.72161580707826,10.2019134274472,3639,0.514008769790742,5994,187.101255989197,247,236,2009-10-01
2009-11-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2009-11-01
2009-12-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2009-12-01
2010-01-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2010-01-01
2010-02-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2010-02-01
2010-03-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2010-03-01
2010-04-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2010-04-01
2010-05-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,15.2542372881356,0.454019518894043,3.15629695035432,11.3830718616964,4975,0.608398324142572,0,234.279169752307,247,236,2010-05-01
2010-06-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,92.8107344632769,2.63294670974161,15.6360364862824,52.9385493302016,30022,3.02607036574757,7180,1275.58883840615,247,236,2010-06-01
2010-07-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,101.599234554401,3.05456338793395,16.0674522631227,86.1763536372037,44105,3.68794062260416,17800,1559.14256985759,247,236,2010-07-01
2010-08-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,97.7310005467469,2.89732002314705,15.3966868167723,64.5034381788683,37776,3.23444002726078,22230,1397.98241092509,247,236,2010-08-01
2010-09-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,92.9237288135594,2.62832686742659,15.171672885961,58.6615554623868,26310,2.65106462950206,10620,1204.24278253343,247,236,2010-09-01
2010-10-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,12.7255330781848,0.300262251814379,2.49882994764282,7.46789853332969,3686,0.437817698330189,11340,150.03812405782,247,236,2010-10-01
2010-11-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2010-11-01
2010-12-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2010-12-01
2011-01-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2011-01-01
2011-02-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2011-02-01
2011-03-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2011-03-01
2011-04-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2011-04-01
2011-05-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,16.9764898851832,0.587291775341289,3.3055022782869,14.9407150198135,5862,0.699460997367245,0,274.277688309757,247,236,2011-05-01
2011-06-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,96.0028248587571,2.72939914616773,15.6264368683213,61.3835642212091,33366,3.17726496230956,7850,1282.7306234983,247,236,2011-06-01
2011-07-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,101.120831055222,3.02066225465207,15.4318419262998,92.6974207719676,45068,3.70045218050245,19960,1488.52976922764,247,236,2011-07-01
2011-08-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,98.2914160743576,2.88374978654534,15.0510873740576,71.2540295048227,37042,3.23043052522206,18020,1376.02229309454,247,236,2011-08-01
2011-09-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,93.4604519774011,2.65557218024018,14.5735147473829,65.1736518212724,26878,2.67302320727769,10820,1153.76490410363,247,236,2011-09-01
2011-10-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,10.7162383816293,0.241603975901211,1.84897136273865,6.51216941468669,3154,0.339563408941289,11300,111.285405071119,247,236,2011-10-01
2011-11-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2011-11-01
2011-12-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2011-12-01
2012-01-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2012-01-01
2012-02-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2012-02-01
2012-03-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2012-03-01
2012-04-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2012-04-01
2012-05-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,17.0311645708037,0.674885412361843,4.5372146783554,17.5351729567564,5698,0.886061644350695,0,326.362382754602,247,236,2012-05-01
2012-06-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,77.5706214689266,2.72957137038542,15.3632366114149,79.3020329999918,31356,3.53247308465602,10006,1298.10450160143,247,236,2012-06-01
2012-07-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,79.7977036632039,3.05485564493022,14.3968270587577,111.421839603499,41829,4.03593289291421,15834,1428.82626379945,247,236,2012-07-01
2012-08-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,78.239475123018,2.94737528500617,14.6413474042415,92.9897422861709,34916,3.59713366355083,15746,1371.65323735075,247,236,2012-08-01
2012-09-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,71.2853107344633,2.71598863850372,14.6650135658411,78.4194851640039,21864,2.84432979386684,12448,1188.05356285224,247,236,2012-09-01
2012-10-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,13.9420448332422,0.758774407707726,4.12759924984012,18.8293245021229,3743,0.787489597579283,4140,333.255974406755,247,236,2012-10-01
2012-11-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2012-11-01
2012-12-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2012-12-01
2013-01-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2013-01-01
2013-02-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2013-02-01
2013-03-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2013-03-01
2013-04-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2013-04-01
2013-05-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,20.9130672498633,0.797403302373996,5.12726960173848,22.3686547727345,7451,1.08563527262908,0,392.711357029841,247,236,2013-05-01
2013-06-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,79.3926553672316,2.79172407700933,16.0409710553031,80.5193558731162,33628,3.77755399437664,10345,1393.10183054484,247,236,2013-06-01
2013-07-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,82.0393657736468,2.99180760145807,15.0148087841221,108.768779612336,40077,3.97072545278053,14505,1439.67376880019,247,236,2013-07-01
2013-08-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,80.002733734281,2.86215532680949,14.7912392407032,92.0013585172145,34270,3.38773523875722,15590,1368.60572149578,247,236,2013-08-01
2013-09-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,38.4887005649718,3.05322651642563,5.71351526129345,71.6147838481613,12230,3.0000462021776,12632,484.598833491378,247,236,2013-09-01
2013-10-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2013-10-01
2013-11-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2013-11-01
2013-12-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2013-12-01
2014-01-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2014-01-01
2014-02-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2014-02-01
2014-03-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2014-03-01
2014-04-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2014-04-01
2014-05-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,20.0929469655549,0.764689994153744,4.79906234995538,17.6221623511096,6703,1.013761384977,0,372.358707499228,247,236,2014-05-01
2014-06-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,84.0536723163842,2.6125752748918,15.1363897945206,67.1961318898709,29693,3.15952771700794,10730,1220.94623483989,247,236,2014-06-01
2014-07-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,80.3991252050301,3.00814057202763,14.7643595278175,106.008689298875,36948,3.71862057109967,12750,1404.39359733953,247,236,2014-07-01
2014-08-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,79.2782941498087,2.82565730826477,14.5123968172987,91.4294551460172,31593,3.27537370286711,14310,1305.17938331185,247,236,2014-08-01
2014-09-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,72.5564971751413,2.49482658149564,13.1857755081146,66.0002674781771,20207,2.41274733712555,13020,1044.61082831277,247,236,2014-09-01
2014-10-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2014-10-01
2014-11-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2014-11-01
2014-12-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2014-12-01
2015-01-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2015-01-01
2015-02-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2015-02-01
2015-03-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2015-03-01
2015-04-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2015-04-01
2015-05-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,28.0481137233461,0.949405428971755,3.83523701050954,23.5250036560534,9660,1.11960597111956,0,377.48847944419,247,236,2015-05-01
2015-06-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,96.2429378531074,2.85427429815464,14.1450400549113,87.4167050685686,35438,3.36537834638462,9130,1269.54195752744,247,236,2015-06-01
2015-07-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,100.574084199016,3.11871692771969,14.1253761812367,111.386509009787,45338,3.73442150615821,16280,1408.79816193317,247,236,2015-07-01
2015-08-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,99.2892290869328,2.96586822369134,14.6381261171376,91.9678476148652,38739,3.351612874478,17070,1377.53020075466,247,236,2015-08-01
2015-09-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,91.497175141243,2.63190108883272,13.2904156012757,74.1169793923362,27705,2.65146401333532,11622,1131.95892261632,247,236,2015-09-01
2015-10-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2015-10-01
2015-11-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2015-11-01
2015-12-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2015-12-01
2016-01-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2016-01-01
2016-02-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2016-02-01
2016-03-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2016-03-01
2016-04-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2016-04-01
2016-05-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,18.8627665390924,0.433300025374804,3.43672928342808,14.5415810329938,7349,0.616506059589356,0,263.269062552071,247,236,2016-05-01
2016-06-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,103.079096045198,2.66710826591505,19.2510213743497,92.5731921361923,41493,3.30518376511791,18669,1583.57741663022,247,236,2016-06-01
2016-07-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,102.843083652269,2.96010014393781,18.9529755268531,120.76669587649,49229,3.73839700854608,24584,1766.39510069494,247,236,2016-07-01
2016-08-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,102.200656096227,2.82827638175836,18.2581487165725,93.8976024138796,40969,3.09668720658472,23590,1615.12775504061,247,236,2016-08-01
2016-09-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,102.231638418079,2.63765727512611,18.3477249909662,76.3191366123391,31925,2.56450760924385,20133,1436.36367411519,247,236,2016-09-01
2016-10-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,22.4576271186441,0.785496175792592,5.23771574466864,12.3020111860595,5816,0.761311733965754,16495,348.785004667223,247,236,2016-10-01
2016-11-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2016-11-01
2016-12-01,67,Rocky Mountain,MORAINE PARK CAMPGROUND,0,0,0,0,0,0,0,0,247,236,2016-12-01
