date,id,Park,Campground,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites
2007-01-10,45,Everglades,FLAMINGO,0.854700854700855,14,8,79.5,3,1.5,224,112,234,234
2007-01-11,45,Everglades,FLAMINGO,0.854700854700855,14,8,79.5,3,1.5,224,112,234,234
2007-01-12,45,Everglades,FLAMINGO,0.854700854700855,14,8,79.5,3,1.5,224,112,234,234
2007-01-13,45,Everglades,FLAMINGO,0.854700854700855,14,8,79.5,3,1.5,224,112,234,234
2007-01-14,45,Everglades,FLAMINGO,1.28205128205128,14,10.6666666666667,81,5,1.66666666666667,448,149.333333333333,234,234
2007-01-15,45,Everglades,FLAMINGO,1.70940170940171,13,10,71.5,7,1.75,528,132,234,234
2007-01-16,45,Everglades,FLAMINGO,2.99145299145299,13.2857142857143,9.14285714285714,72.4285714285714,13,1.85714285714286,856,122.285714285714,234,234
2007-01-17,45,Everglades,FLAMINGO,4.7008547008547,12.9090909090909,8.72727272727273,63,21,1.90909090909091,1248,113.454545454545,234,234
2007-01-18,45,Everglades,FLAMINGO,4.7008547008547,12.9090909090909,8.72727272727273,63,21,1.90909090909091,1248,113.454545454545,234,234
2007-01-19,45,Everglades,FLAMINGO,5.12820512820513,12.25,9.33333333333333,65.5833333333333,23,1.91666666666667,1328,110.666666666667,234,234
2007-01-20,45,Everglades,FLAMINGO,8.54700854700855,11.65,9.66666666666667,73.8,39,1.95,2080,104,234,234
2007-01-21,45,Everglades,FLAMINGO,11.1111111111111,10.6538461538462,9.58974358974359,69.8076923076923,50,1.92307692307692,2472,95.0769230769231,234,234
2007-01-22,45,Everglades,FLAMINGO,12.8205128205128,9.73333333333333,10.1777777777778,70.4,58,1.93333333333333,2656,88.5333333333333,234,234
2007-01-23,45,Everglades,FLAMINGO,14.957264957265,8.97142857142857,10.7809523809524,67.2,72,2.05714285714286,2896,82.7428571428572,234,234
2007-01-24,45,Everglades,FLAMINGO,14.957264957265,8.23809523809524,10.8888888888889,61.0476190476191,88,2.0952380952381,3224,76.7619047619048,234,234
2007-01-25,45,Everglades,FLAMINGO,15.8119658119658,7.76190476190476,10.8888888888889,54.6428571428572,86,2.04761904761905,3120,74.2857142857143,234,234
2007-01-26,45,Everglades,FLAMINGO,18.8034188034188,6.91666666666667,11.1944444444444,50.75,117,2.4375,3248,67.6666666666667,234,234
2007-01-27,45,Everglades,FLAMINGO,19.6581196581197,6.74545454545455,11.369696969697,47.3272727272727,127,2.30909090909091,3752,68.2181818181818,234,234
2007-01-28,45,Everglades,FLAMINGO,19.6581196581197,7.66666666666667,10.8496732026144,45.5098039215686,102,2,3776,74.0392156862745,234,234
2007-01-29,45,Everglades,FLAMINGO,15.8119658119658,8.02325581395349,10.4496124031008,53.9069767441861,81,1.88372093023256,3240,75.3488372093023,234,234
2007-01-30,45,Everglades,FLAMINGO,15.8119658119658,8.76923076923077,10.2905982905983,58.7179487179487,74,1.8974358974359,3176,81.4358974358974,234,234
2007-01-31,45,Everglades,FLAMINGO,15.8119658119658,8.61904761904762,10.3174603174603,55.8809523809524,81,1.92857142857143,3376,80.3809523809524,234,234
2007-02-01,45,Everglades,FLAMINGO,20.9401709401709,7.16363636363636,11.5151515151515,51,128,2.32727272727273,3952,71.8545454545455,234,234
2007-02-02,45,Everglades,FLAMINGO,21.3675213675214,6.34426229508197,12.327868852459,52.6229508196721,148,2.42622950819672,4112,67.4098360655738,234,234
2007-02-03,45,Everglades,FLAMINGO,21.3675213675214,7.03571428571429,12,54.3928571428572,137,2.44642857142857,4032,72,234,234
2007-02-04,45,Everglades,FLAMINGO,20.0854700854701,6.6,12.3636363636364,51.7272727272727,139,2.52727272727273,3928,71.4181818181818,234,234
2007-02-05,45,Everglades,FLAMINGO,14.957264957265,7.92307692307692,11.2820512820513,48.974358974359,81,2.07692307692308,3192,81.8461538461538,234,234
2007-02-06,45,Everglades,FLAMINGO,14.5299145299145,8.02702702702703,10.5945945945946,52.3783783783784,79,2.13513513513514,2856,77.1891891891892,234,234
2007-02-07,45,Everglades,FLAMINGO,14.5299145299145,7.75675675675676,10.5945945945946,46.6486486486487,80,2.16216216216216,2752,74.3783783783784,234,234
2007-02-08,45,Everglades,FLAMINGO,15.8119658119658,7.28571428571429,10.6666666666667,49.0476190476191,90,2.14285714285714,2976,70.8571428571429,234,234
2007-02-09,45,Everglades,FLAMINGO,19.2307692307692,6.80392156862745,10.8235294117647,54.2549019607843,112,2.19607843137255,3368,66.0392156862745,234,234
2007-02-10,45,Everglades,FLAMINGO,23.0769230769231,6.26785714285714,10.8571428571429,53.6964285714286,131,2.33928571428571,3418,61.0357142857143,234,234
2007-02-11,45,Everglades,FLAMINGO,23.5042735042735,6.32786885245902,11.1475409836066,53.4262295081967,148,2.42622950819672,3946,64.6885245901639,234,234
2007-02-12,45,Everglades,FLAMINGO,18.8034188034188,6.74,9.76,53.5,109,2.18,3344,66.88,234,234
2007-02-13,45,Everglades,FLAMINGO,18.8034188034188,6.79166666666667,10.3333333333333,45.6458333333333,115,2.39583333333333,3312,69,234,234
2007-02-14,45,Everglades,FLAMINGO,18.3760683760684,6.53846153846154,10.1538461538462,53.1730769230769,137,2.63461538461538,3426,65.8846153846154,234,234
2007-02-15,45,Everglades,FLAMINGO,21.3675213675214,6.31578947368421,10.5263157894737,58.1929824561404,149,2.6140350877193,3834,67.2631578947368,234,234
2007-02-16,45,Everglades,FLAMINGO,34.1880341880342,4.86363636363636,11.7954545454545,42.5113636363636,290,3.29545454545455,4688,53.2727272727273,234,234
2007-02-17,45,Everglades,FLAMINGO,40.5982905982906,4.25454545454546,12.3454545454545,41.1181818181818,387,3.51818181818182,5266,47.8727272727273,234,234
2007-02-18,45,Everglades,FLAMINGO,41.4529914529915,3.97413793103448,13,38.7241379310345,435,3.75,5410,46.6379310344828,234,234
2007-02-19,45,Everglades,FLAMINGO,35.8974358974359,4.17,13,37.65,348,3.48,4946,49.46,234,234
2007-02-20,45,Everglades,FLAMINGO,22.2222222222222,5.22413793103448,12.9310344827586,41.3103448275862,177,3.05172413793103,3574,61.6206896551724,234,234
2007-02-21,45,Everglades,FLAMINGO,20.9401709401709,5.33898305084746,12.8813559322034,45.7627118644068,149,2.52542372881356,3800,64.406779661017,234,234
2007-02-22,45,Everglades,FLAMINGO,19.6581196581197,5.19230769230769,13.0769230769231,39.0769230769231,138,2.65384615384615,3314,63.7307692307692,234,234
2007-02-23,45,Everglades,FLAMINGO,22.2222222222222,4.74137931034483,14,35.4310344827586,183,3.1551724137931,3482,60.0344827586207,234,234
2007-02-24,45,Everglades,FLAMINGO,21.3675213675214,4.41071428571429,14.3571428571429,33.7142857142857,189,3.375,3114,55.6071428571429,234,234
2007-02-25,45,Everglades,FLAMINGO,20.5128205128205,4.83636363636364,14.2,35.8727272727273,167,3.03636363636364,3316,60.2909090909091,234,234
2007-02-26,45,Everglades,FLAMINGO,16.2393162393162,5.2093023255814,12.6744186046512,40.2325581395349,93,2.16279069767442,2620,60.9302325581395,234,234
2007-02-27,45,Everglades,FLAMINGO,15.8119658119658,4.97435897435897,12.1282051282051,40.7948717948718,78,2,2238,57.3846153846154,234,234
2007-02-28,45,Everglades,FLAMINGO,15.8119658119658,5.17948717948718,11.8974358974359,37.2051282051282,86,2.20512820512821,2348,60.2051282051282,234,234
2007-03-01,45,Everglades,FLAMINGO,17.0940170940171,5.08695652173913,11.304347826087,35.5217391304348,108,2.34782608695652,2720,59.1304347826087,234,234
2007-03-02,45,Everglades,FLAMINGO,18.8034188034188,4.40425531914894,12.4255319148936,32.9787234042553,110,2.34042553191489,2534,53.9148936170213,234,234
2007-03-03,45,Everglades,FLAMINGO,21.7948717948718,3.7258064516129,12.6129032258065,28.2903225806452,194,3.12903225806452,2888,46.5806451612903,234,234
2007-03-04,45,Everglades,FLAMINGO,24.7863247863248,3.69565217391304,13.304347826087,32.6376811594203,243,3.52173913043478,3316,48.0579710144928,234,234
2007-03-05,45,Everglades,FLAMINGO,22.2222222222222,4.25,12.2666666666667,36.7833333333333,185,3.08333333333333,3086,51.4333333333333,234,234
2007-03-06,45,Everglades,FLAMINGO,22.2222222222222,4.28813559322034,12.8813559322034,38.9661016949153,169,2.86440677966102,3084,52.271186440678,234,234
2007-03-07,45,Everglades,FLAMINGO,18.8034188034188,4.78260869565217,12.5217391304348,46.4565217391304,131,2.84782608695652,2652,57.6521739130435,234,234
2007-03-08,45,Everglades,FLAMINGO,17.5213675213675,4.3469387755102,12.0816326530612,44.0204081632653,136,2.77551020408163,2404,49.0612244897959,234,234
