date,id,Park,Campground,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites,month
2007-03-31,11,Acadia,BLACKWOODS CAMPGROUND,0.711743772241993,3,0,44,7,3.5,0,0,281,281,2007-03-01
2007-04-01,11,Acadia,BLACKWOODS CAMPGROUND,0.0711743772241993,0.3,0,4.4,21,0.35,0,0,281,281,2007-04-01
2007-05-01,11,Acadia,BLACKWOODS CAMPGROUND,1.18241304098267,3.41445793212688,17.3842009636791,33.4665609871615,5402,3.14126717919196,20,1939.73832755533,281,281,2007-05-01
2007-06-01,11,Acadia,BLACKWOODS CAMPGROUND,1.72004744958482,5.03255543127774,16.2461390593546,70.7594687645878,7750,3.21368293753767,4080,2476.29732353961,281,281,2007-06-01
2007-07-01,11,Acadia,BLACKWOODS CAMPGROUND,2.58294110894272,4.99070544952197,16.8381747776096,75.664168139591,32533,3.5547940534142,23360,2569.99489374272,281,281,2007-07-01
2007-08-01,11,Acadia,BLACKWOODS CAMPGROUND,2.13523131672598,4.88795334618368,16.6882787475299,72.3292451039323,43245,3.51261250426994,33380,2515.09986852683,281,281,2007-08-01
2007-09-01,11,Acadia,BLACKWOODS CAMPGROUND,2.02846975088968,4.66084725616139,15.5356764667297,40.011395665935,10400,2.56905505124169,25070,2113.42140550342,281,281,2007-09-01
2007-10-01,11,Acadia,BLACKWOODS CAMPGROUND,1.48088623579382,4.07901656890855,15.9606422708613,28.3424539140494,5451,2.56901498502012,5340,2037.08139004118,281,281,2007-10-01
2007-11-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2007-11-01
2007-12-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2007-12-01
2008-01-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2008-01-01
2008-02-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2008-02-01
2008-03-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2008-03-01
2008-04-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2008-04-01
2008-05-01,11,Acadia,BLACKWOODS CAMPGROUND,1.01021696705315,3.82226604616626,17.4379675290114,35.075877005888,6002,3.32969468422732,300,2203.07303855547,281,281,2008-05-01
2008-06-01,11,Acadia,BLACKWOODS CAMPGROUND,1.68446026097272,4.46676921552269,16.3139508199654,50.4277971064926,15806,2.99493534220797,3440,2094.88629272712,281,281,2008-06-01
2008-07-01,11,Acadia,BLACKWOODS CAMPGROUND,2.16967053151188,4.83603413098015,16.5803284309017,74.9254814568813,39956,3.34904167708378,28280,2462.57520661934,281,281,2008-07-01
2008-08-01,11,Acadia,BLACKWOODS CAMPGROUND,2.4107450350132,5.07611350135513,15.6692146268207,91.1936799558771,43216,3.48667002876344,32460,2441.37780560995,281,281,2008-08-01
2008-09-01,11,Acadia,BLACKWOODS CAMPGROUND,1.48279952550415,4.67914581394907,14.8138221243413,48.4235486841573,8775,2.59985225269498,20330,2112.30807568213,281,281,2008-09-01
2008-10-01,11,Acadia,BLACKWOODS CAMPGROUND,1.11353461141086,4.60475061448756,15.5576643515423,41.0242784909151,4272,2.52170680917932,2390,2240.29891524173,281,281,2008-10-01
2008-11-01,11,Acadia,BLACKWOODS CAMPGROUND,0.0237247924080664,0.116666666666667,0.333333333333333,2.93333333333333,4,0.0666666666666667,30,15,281,281,2008-11-01
2008-12-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2008-12-01
2009-01-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2009-01-01
2009-02-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2009-02-01
2009-03-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2009-03-01
2009-04-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2009-04-01
2009-05-01,11,Acadia,BLACKWOODS CAMPGROUND,1.01021696705315,3.3453986816686,16.7585092628967,34.0888634601425,6915,3.37328914600596,310,1816.59368402754,281,281,2009-05-01
2009-06-01,11,Acadia,BLACKWOODS CAMPGROUND,1.51838671411625,4.18592557182451,15.7151469818992,49.2184299774436,15737,2.9273641035711,2460,2049.03403231936,281,281,2009-06-01
2009-07-01,11,Acadia,BLACKWOODS CAMPGROUND,2.13523131672598,4.75834903077504,15.9831711302996,71.6651806646998,41779,3.3576611583471,29510,2404.98533081636,281,281,2009-07-01
2009-08-01,11,Acadia,BLACKWOODS CAMPGROUND,2.12375157846401,5.06161887002433,16.0361052907725,88.1500793714656,41425,3.50980951325413,33760,2553.06168959421,281,281,2009-08-01
2009-09-01,11,Acadia,BLACKWOODS CAMPGROUND,1.80308422301305,4.71042640366453,15.5828647326536,47.1734608088622,13004,2.52933412339859,16310,2119.26247570534,281,281,2009-09-01
2009-10-01,11,Acadia,BLACKWOODS CAMPGROUND,1.2053725175066,3.85596425965481,14.9762999915301,38.0338161295875,5871,2.64482309910221,4890,1800.55968483006,281,281,2009-10-01
2009-11-01,11,Acadia,BLACKWOODS CAMPGROUND,0.0237247924080664,0.133333333333333,0.383333333333333,2.28333333333333,9,0.075,230,57.5,281,281,2009-11-01
2009-12-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2009-12-01
2010-01-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2010-01-01
2010-02-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2010-02-01
2010-03-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2010-03-01
2010-04-01,11,Acadia,BLACKWOODS CAMPGROUND,0,0,0,0,0,0,0,0,281,281,2010-04-01
2010-05-01,11,Acadia,BLACKWOODS CAMPGROUND,1.19389277924464,3.62871202545993,16.7888803054627,38.1715491850817,7158,3.08154947688958,100,1747.61145288437,281,281,2010-05-01
2010-06-01,11,Acadia,BLACKWOODS CAMPGROUND,1.66073546856465,4.12871955748718,16.5841567684442,49.3379210065054,15168,2.87047497496541,4370,2066.53009977093,281,281,2010-06-01
2010-07-01,11,Acadia,BLACKWOODS CAMPGROUND,2.13523131672598,4.59455853534878,16.6560624149785,72.6737166371123,38747,3.30274613380851,25550,2403.09806286578,281,281,2010-07-01
2010-08-01,11,Acadia,BLACKWOODS CAMPGROUND,2.11227184020204,4.98575611557616,16.1340869872588,91.2259573583893,40992,3.47812819481736,32960,2519.7571744005,281,281,2010-08-01
2010-09-01,11,Acadia,BLACKWOODS CAMPGROUND,1.83867141162515,4.20907631898957,15.1527536023488,41.667096260914,13641,2.35221278748974,18860,1930.66038824237,281,281,2010-09-01
