id,Park,Campground,date,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites
7,Shenandoah,BIG MEADOWS,2007-09-17,0.230769230769231,4.64705882352941,14.9542483660131,32.9607843137255,161,3.15686274509804,3600,70.5882352941177,221,221
7,Shenandoah,BIG MEADOWS,2007-09-18,0.144796380090498,5.84375,14.7708333333333,36.65625,91,2.84375,2770,86.5625,221,221
7,Shenandoah,BIG MEADOWS,2007-05-25,0.809954751131222,2.87894736842105,17.7684210526316,64.6263157894737,758,3.98947368421053,9635.5,50.7131578947369,221,221
7,Shenandoah,BIG MEADOWS,2007-05-26,0.914027149321267,2.6984126984127,17.984126984127,68.8690476190476,1021,4.0515873015873,11947.5,47.4107142857143,221,221
7,Shenandoah,BIG MEADOWS,2007-05-27,0.914027149321267,2.66935483870968,18.0725806451613,70.633064516129,1020,4.11290322580645,11637.5,46.9254032258065,221,221
7,Shenandoah,BIG MEADOWS,2007-05-28,0.914027149321267,2.85087719298246,17.9298245614035,68.8991228070176,923,4.04824561403509,11309.5,49.6030701754386,221,221
7,Shenandoah,BIG MEADOWS,2007-05-29,0.235294117647059,3.81481481481482,16.5555555555556,55.8148148148148,186,3.44444444444444,3063.5,56.7314814814815,221,221
7,Shenandoah,BIG MEADOWS,2007-08-05,0.904977375565611,2.9488188976378,17.7165354330709,42.8425196850394,1028,4.04724409448819,13210,52.007874015748,221,221
7,Shenandoah,BIG MEADOWS,2007-08-06,0.51131221719457,3.872,16.88,54.912,500,4,8060,64.48,221,221
7,Shenandoah,BIG MEADOWS,2007-08-07,0.461538461538462,3.90434782608696,16.9565217391304,50.1652173913044,453,3.93913043478261,7480,65.0434782608696,221,221
7,Shenandoah,BIG MEADOWS,2007-08-08,0.470588235294118,4.02521008403361,16.9327731092437,51.0504201680672,457,3.84033613445378,8120,68.2352941176471,221,221
7,Shenandoah,BIG MEADOWS,2007-08-09,0.556561085972851,3.7,17.25,44.9928571428571,524,3.74285714285714,8930,63.7857142857143,221,221
7,Shenandoah,BIG MEADOWS,2007-08-10,0.850678733031674,2.93589743589744,17.3290598290598,34.2478632478633,922,3.94017094017094,12035,51.4316239316239,221,221
7,Shenandoah,BIG MEADOWS,2007-06-15,0.791855203619909,2.72058823529412,17.0915032679739,37.4558823529412,813,3.98529411764706,8950,43.8725490196078,221,221
7,Shenandoah,BIG MEADOWS,2007-06-16,0.900452488687783,2.41198501872659,17.8901373283396,37.0711610486891,1076,4.02996254681648,11150,41.7602996254682,221,221
7,Shenandoah,BIG MEADOWS,2007-06-17,0.900452488687783,2.66530612244898,17.5374149659864,38.5836734693878,963,3.93061224489796,11110,45.3469387755102,221,221
7,Shenandoah,BIG MEADOWS,2007-06-08,0.669683257918552,2.76875,16.934375,27.575,569,3.55625,7178,44.8625,221,221
7,Shenandoah,BIG MEADOWS,2007-06-09,0.805429864253394,2.29439252336449,17.2429906542056,23.4906542056075,777,3.63084112149533,8110,37.8971962616822,221,221
7,Shenandoah,BIG MEADOWS,2007-06-10,0.81447963800905,2.34418604651163,17.3953488372093,23.3209302325581,787,3.66046511627907,8120,37.7674418604651,221,221
7,Shenandoah,BIG MEADOWS,2007-07-14,0.904977375565611,2.73929961089494,18.0933852140078,32.3852140077821,1000,3.89105058365759,12750,49.6108949416342,221,221
7,Shenandoah,BIG MEADOWS,2007-07-15,0.904977375565611,2.85892116182573,18.220378054403,32.896265560166,944,3.91701244813278,12280,50.954356846473,221,221
7,Shenandoah,BIG MEADOWS,2007-10-05,0.850678733031674,2.54545454545455,16.969696969697,60.012987012987,931,4.03030303030303,9770,42.2943722943723,221,221
7,Shenandoah,BIG MEADOWS,2007-10-06,0.904977375565611,2.38576779026217,17.4531835205993,60.3820224719101,1127,4.22097378277154,10900,40.8239700374532,221,221
7,Shenandoah,BIG MEADOWS,2007-10-07,0.904977375565611,2.38006230529595,17.6791277258567,51.9034267912773,1313,4.09034267912773,12935,40.2959501557632,221,221
7,Shenandoah,BIG MEADOWS,2007-10-08,0.855203619909502,2.6027397260274,17.2374429223744,44.0958904109589,801,3.65753424657534,9275,42.351598173516,221,221
7,Shenandoah,BIG MEADOWS,2007-10-09,0.357466063348416,3.82716049382716,14.5679012345679,47.2345679012346,215,2.65432098765432,4490,55.4320987654321,221,221
7,Shenandoah,BIG MEADOWS,2007-10-10,0.285067873303167,4.36764705882353,14.1176470588235,52.9852941176471,173,2.54411764705882,4270,62.7941176470588,221,221
7,Shenandoah,BIG MEADOWS,2007-10-11,0.380090497737557,4.1264367816092,14.6360153256705,59.8275862068966,239,2.74712643678161,5240,60.2298850574713,221,221
7,Shenandoah,BIG MEADOWS,2007-10-12,0.914027149321267,2.65725806451613,16.1424731182796,63.5443548387097,922,3.71774193548387,10720,43.2258064516129,221,221
7,Shenandoah,BIG MEADOWS,2007-10-13,0.914027149321267,2.48161764705882,16.5379901960784,65.1470588235294,1084,3.98529411764706,11175,41.0845588235294,221,221
7,Shenandoah,BIG MEADOWS,2007-10-14,0.909502262443439,2.5968992248062,16.8733850129199,66.9147286821706,1005,3.8953488372093,11180,43.3333333333333,221,221
7,Shenandoah,BIG MEADOWS,2007-06-01,0.552036199095023,2.86363636363636,16.9204545454545,33.3181818181818,487,3.68939393939394,6083.5,46.0871212121212,221,221
7,Shenandoah,BIG MEADOWS,2007-06-02,0.687782805429864,2.42352941176471,17.35,27.8176470588235,615,3.61764705882353,6735.5,39.6205882352941,221,221
