id,Park,Campground,date,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites,month
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-08-03,0.951612903225807,2.86994658558826,16.1037399781483,42.3313295793666,33728,3.10959874169983,20820,1418.83919443656,247,236,2007-08-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-05-25,0.58427495291902,2.60057740872516,15.8600238012747,32.5244137386006,5222,3.23870666942944,9100,366.069009746037,247,236,2007-05-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-29,1.02829414980864,3.05491936650984,16.0683816354717,50.6098458421194,41572,3.48662838595871,21260,1523.66620160806,247,236,2007-07-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-06-03,0.845338983050848,2.79689109112389,16.5429630769156,35.5864108388908,26351,3.18428900870629,9250,1344.7138541397,247,236,2007-06-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-09-21,0.895338983050848,2.52952147914596,15.6980592963619,36.7418308844002,23722,2.58329654599974,14740,1197.6168846683,247,236,2007-09-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-10-01,0.415254237288135,1.75753205128205,14.5633012820512,28.0561698717949,490,2.15296474358974,3440,51.1490384615385,247,236,2007-10-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2008-05-23,0.669106317411402,2.28591297880278,15.7985083798232,38.8979248631116,6570,2.77234717798216,9020,405.685713232153,247,236,2008-05-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2008-07-26,1.02063969382176,2.9618288916403,16.0490643426056,58.6367311594481,40593,3.40834505049221,18050,1485.00288196314,247,236,2008-07-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2008-08-18,0.957627118644069,2.76194614164517,15.4255579010509,47.7485744416525,34451,3.08867977747263,12590,1357.01273537764,247,236,2008-08-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2008-09-01,0.863841807909605,2.54971173639563,14.9553080426837,44.2892581476738,22720,2.48914947423276,15030,1135.62083916157,247,236,2008-09-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2008-06-08,0.853531073446328,2.57413249440707,16.2568324102608,42.4012221153291,26528,2.96941625733352,11720,1227.38311818812,247,236,2008-06-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2008-10-04,0.547080979284369,2.6107841888032,15.6857308505793,26.6508900419581,3798,2.47785351106408,10880,372.797909683577,247,236,2008-10-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2009-08-18,1.00628758884637,2.88318618946019,16.1366770496301,65.2038973174564,41761,3.52080868674999,16790,1460.60950821504,247,236,2009-08-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2009-07-14,1.02829414980864,2.97139499456047,16.7437215388843,84.1593869780593,48543,3.99208778288812,19572,1568.64001562513,247,236,2009-07-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2009-05-25,0.765183615819209,2.34115305354699,16.491606080943,36.6298839162384,8682,2.93468460720017,13889,475.148830672108,247,236,2009-05-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2009-06-12,0.951694915254238,2.82861212513833,16.2108382877686,58.4117340935987,37335,3.60015088365988,15869,1437.84336617248,247,236,2009-06-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2009-09-29,0.895197740112995,2.57957139458798,15.3595550828716,53.7805124804368,27857,2.84082532383776,9060,1196.36918687741,247,236,2009-09-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2009-10-01,0.681497175141243,2.09831718283387,14.0616816699043,52.7098860418103,3639,2.65571197725217,5994,187.101255989197,247,236,2009-10-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2010-07-22,1.01599234554401,3.05456338793395,16.0674522631227,86.1763536372037,44105,3.68794062260416,18830,1559.14256985759,247,236,2010-07-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2010-08-01,0.977310005467469,2.89732002314705,15.3966868167723,64.5034381788683,37776,3.23444002726078,22230,1397.98241092509,247,236,2010-08-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2010-06-05,0.928107344632769,2.63294670974161,15.6360364862824,52.9385493302016,30022,3.02607036574757,12210,1275.58883840615,247,236,2010-06-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2010-09-16,0.929237288135594,2.62832686742659,15.171672885961,58.6615554623868,26310,2.65106462950206,13280,1204.24278253343,247,236,2010-09-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2010-05-30,0.78813559322034,2.34576751428589,16.3075342434973,58.812537952098,4975,3.14339134140329,13370,234.279169752307,247,236,2010-05-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2010-10-01,0.788983050847458,1.86162596124915,15.4927456753855,46.3009709066441,3686,2.71446972964717,11340,150.03812405782,247,236,2010-10-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2011-09-03,0.934604519774011,2.65557218024018,14.5735147473829,65.1736518212724,26878,2.67302320727769,15518,1153.76490410363,247,236,2011-09-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2011-07-27,1.01120831055222,3.02066225465207,15.4318419262998,92.6974207719676,45068,3.70045218050245,19430,1488.52976922764,247,236,2011-07-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2011-06-10,0.960028248587571,2.72939914616773,15.6264368683213,61.3835642212091,33366,3.17726496230956,15550,1282.7306234983,247,236,2011-06-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2011-08-14,0.982914160743576,2.88374978654534,15.0510873740576,71.2540295048227,37042,3.23043052522206,19260,1376.02229309454,247,236,2011-08-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2011-10-01,0.830508474576272,1.87243081323439,14.3295280612245,50.4693129638219,3154,2.63161641929499,11300,111.285405071119,247,236,2011-10-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2011-05-28,0.75181598062954,2.60086357651142,14.6386529466991,66.166023659174,5862,3.09761298834066,13430,274.277688309757,247,236,2011-05-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2012-08-31,0.78239475123018,2.94737528500617,14.6413474042415,92.9897422861709,34916,3.59713366355083,13458,1371.65323735075,247,236,2012-08-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2012-09-01,0.712853107344633,2.71598863850372,14.6650135658411,78.4194851640039,21864,2.84432979386684,12448,1188.05356285224,247,236,2012-09-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2012-05-31,0.586629001883239,2.32460530924635,15.6281838921131,60.3989290732722,5698,3.05199010831906,6230,326.362382754602,247,236,2012-05-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2012-06-01,0.775706214689266,2.72957137038542,15.3632366114149,79.3020329999918,31356,3.53247308465602,10006,1298.10450160143,247,236,2012-06-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2012-07-29,0.797977036632039,3.05485564493022,14.3968270587577,111.421839603499,41829,4.03593289291421,17544,1428.82626379945,247,236,2012-07-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2012-10-04,0.432203389830509,2.35220066389395,12.7955576745044,58.3709059565809,3743,2.44121775249578,5080,333.255974406755,247,236,2012-10-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2013-08-31,0.80002733734281,2.86215532680949,14.7912392407032,92.0013585172145,34270,3.38773523875722,13100,1368.60572149578,247,236,2013-08-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2013-09-01,0.481108757062147,3.81653314553204,7.14189407661681,89.5184798102016,12230,3.750057752722,12632,484.598833491378,247,236,2013-09-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2013-07-12,0.820393657736468,2.99180760145807,15.0148087841221,108.768779612336,40077,3.97072545278053,16501,1439.67376880019,247,236,2013-07-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2013-06-23,0.793926553672316,2.79172407700933,16.0409710553031,80.5193558731162,33628,3.77755399437664,16775,1393.10183054484,247,236,2013-06-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2013-05-24,0.648305084745763,2.47195023735939,15.8945357653893,69.3428297954768,7451,3.36546934515016,9874,392.711357029841,247,236,2013-05-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2014-08-13,0.792782941498086,2.82565730826477,14.5123968172987,91.4294551460172,31593,3.27537370286711,14300,1305.17938331185,247,236,2014-08-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2014-06-30,0.840536723163842,2.6125752748918,15.1363897945206,67.1961318898709,29693,3.15952771700794,12020,1220.94623483989,247,236,2014-06-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2014-07-01,0.803991252050301,3.00814057202763,14.7643595278175,106.008689298875,36948,3.71862057109967,12750,1404.39359733953,247,236,2014-07-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2014-09-28,0.750584453535944,2.58085508430584,13.6404574221875,68.2761387705281,20207,2.49594552116436,8410,1044.61082831277,247,236,2014-09-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2014-05-31,0.622881355932203,2.37053898187661,14.8770932848617,54.6287032884397,6703,3.14266029342871,9570,372.358707499228,247,236,2014-05-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2015-09-24,0.980326876513318,2.81989402374934,14.2397310013668,79.4110493489317,27705,2.84085430000212,12680,1131.95892261632,247,236,2015-09-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2015-08-06,0.992892290869328,2.96586822369134,14.6381261171376,91.9678476148652,38739,3.351612874478,17320,1377.53020075466,247,236,2015-08-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2015-07-30,1.00574084199016,3.11871692771969,14.1253761812367,111.386509009787,45338,3.73442150615821,18930,1408.79816193317,247,236,2015-07-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2015-06-11,0.962429378531074,2.85427429815464,14.1450400549113,87.4167050685686,35438,3.36537834638462,13940,1269.54195752744,247,236,2015-06-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2015-05-24,0.790446841294299,2.67559711801131,10.808395211436,66.2977375761505,9660,3.15525319133694,11322,377.48847944419,247,236,2015-05-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2016-05-26,0.974576271186442,2.23871679776982,17.7564346310451,75.1315020038012,7349,3.18528130787834,6510,263.269062552071,247,236,2016-05-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2016-06-01,1.03079096045198,2.66710826591505,19.2510213743497,92.5731921361923,41493,3.30518376511791,18669,1583.57741663022,247,236,2016-06-01
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2016-07-01,1.02843083652269,2.96010014393781,18.9529755268531,120.76669587649,49229,3.73839700854608,24584,1766.39510069494,247,236,2016-07-01
