id,Park,Campground,date,occupancy,avglengthStay,avgfee,avgdateDiff,totalNumberOfPeople,avgNumberOfPeople,aggPaid,avgPaid,numOfSites,recGovNumOfSites
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-08-03,1.03389830508475,2.93453724604966,16.0270880361174,55.0067720090294,1557,3.51467268623025,20820,46.9977426636569,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-08-04,1.02966101694915,2.98969072164948,15.7731958762887,64.159793814433,1489,3.83762886597938,18900,48.7113402061856,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-08-05,1.02966101694915,2.96179775280899,16.3595505617978,58.6494382022472,1626,3.65393258426966,22020,49.4831460674157,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-05-25,0.728813559322034,2.64676616915423,16.4179104477612,44.771144278607,717,3.56716417910448,9100,45.273631840796,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-05-26,1.01271186440678,2.44520547945205,16.7123287671233,42.4280821917808,1071,3.66780821917808,12180,41.7123287671233,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-05-27,1.02966101694915,2.33231707317073,16.6768292682927,40.9024390243903,1219,3.71646341463415,12960,39.5121951219512,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-05-28,0.98728813559322,2.51020408163265,17.0068027210884,40.5612244897959,1049,3.56802721088435,12560,42.7210884353742,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-29,1.03813559322034,2.88621444201313,16.3621444201313,53.6761487964989,1649,3.60831509846827,21260,46.5207877461707,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-30,1.03389830508475,3.16353887399464,16.186327077748,50.6648793565684,1216,3.26005361930295,18610,49.8927613941019,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-31,1.03389830508475,3.27792207792208,16.0194805194805,49.6363636363636,1275,3.31168831168831,19950,51.8181818181818,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-08-01,1.03389830508475,3.35230352303523,16.0975609756098,49.3848238482385,1245,3.3739837398374,19730,53.4688346883469,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-08-02,1.03813559322034,3.14248021108179,16.1477572559367,47.6754617414248,1268,3.34564643799472,19040,50.2374670184697,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-21,1.02966101694915,2.87664041994751,16.259842519685,56.2860892388452,1404,3.68503937007874,18030,47.3228346456693,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-22,1.02542372881356,2.74429223744292,16.6438356164384,52.6552511415525,1528,3.48858447488585,20230,46.1872146118721,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-23,1.02966101694915,3.00813008130081,16.9105691056911,48.0487804878049,1158,3.13821138211382,18490,50.1084010840109,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-24,1.02542372881356,3.12011173184358,16.3966480446927,48.9134078212291,1137,3.17597765363128,18580,51.8994413407821,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-25,1.01694915254237,3.25797101449275,16.2608695652174,51.6463768115942,1105,3.20289855072464,18640,54.0289855072464,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-26,1.02542372881356,3.10326086956522,16.25,48.1657608695652,1166,3.16847826086957,18910,51.3858695652174,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-27,1.03389830508475,2.84331797235023,15.5933179723502,49.7718894009217,1477,3.40322580645161,20260,46.6820276497696,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-06-03,0.779661016949153,2.49137931034483,16.5360501567398,29.3103448275862,651,2.80603448275862,9250,39.8706896551724,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-06-04,0.483050847457627,3.06474820143885,15.3695225637672,34.3237410071942,369,2.65467625899281,6190,44.5323741007194,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-06-05,0.508474576271186,2.94927536231884,15.8432147562582,30.4710144927536,374,2.71014492753623,5970,43.2608695652174,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-06-06,0.504237288135593,2.97744360902256,15.6117566643882,28.5338345864662,395,2.96992481203008,5750,43.2330827067669,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-07,1.02966101694915,2.86315789473684,16.1754385964912,54.8263157894737,1455,3.82894736842105,17540,46.1578947368421,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-08,1.02118644067797,2.81527093596059,16.4942528735632,46.7758620689655,1436,3.53694581280788,18940,46.6502463054187,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-09,1.02542372881356,3.04347826086957,16.280193236715,43.2724637681159,1122,3.25217391304348,16970,49.1884057971015,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-10,1.02542372881356,3.1027027027027,16.1621621621622,43.0864864864865,1214,3.28108108108108,18110,48.945945945946,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-07-11,1.00847457627119,3.17307692307692,15.7692307692308,44.5494505494506,1207,3.31593406593407,17920,49.2307692307692,247,236
67,Rocky Mountain,MORAINE PARK CAMPGROUND,2007-05-29,0.385593220338983,2.81651376146789,15.6880733944954,32.7614678899083,366,3.35779816513761,4500,41.2844036697248,247,236
